doc1,doc2,relations,detail
2,98,2,"['P527', 'P361']"
2,108,2,"['P527', 'P361']"
2,111,3,"['P527', 'P361', 'P279']"
2,112,2,"['P527', 'P361']"
2,139,2,"['P527', 'P361']"
2,145,2,"['P527', 'P361']"
2,172,2,"['P527', 'P361']"
2,177,2,"['P527', 'P361']"
2,196,2,"['P527', 'P361']"
2,214,2,"['P527', 'P361']"
2,219,2,"['P527', 'P361']"
2,222,2,"['P527', 'P361']"
2,280,2,"['P527', 'P361']"
2,281,2,"['P527', 'P361']"
2,296,2,"['P527', 'P361']"
2,58,1,['P1552']
2,123,1,['P1552']
2,245,1,['P1552']
2,179,1,['P279']
2,181,1,['P279']
2,160,1,['P279']
2,175,1,['P279']
2,182,1,['P279']
2,211,1,['P279']
2,246,1,['P279']
2,275,1,['P279']
2,287,1,['P279']
5,46,3,"['P279', 'P527', 'P361']"
5,191,1,['P279']
5,8,1,['P460']
5,37,1,['P460']
5,99,1,['P460']
5,103,1,['P460']
5,106,1,['P460']
5,108,3,"['P460', 'P527', 'P361']"
5,109,1,['P460']
5,123,1,['P460']
5,169,1,['P460']
5,175,1,['P460']
5,181,1,['P460']
5,193,1,['P460']
5,207,1,['P460']
5,214,3,"['P460', 'P527', 'P361']"
5,244,1,['P460']
5,254,1,['P460']
5,262,1,['P460']
5,288,1,['P460']
5,6,2,"['P527', 'P361']"
5,13,2,"['P527', 'P361']"
5,15,2,"['P527', 'P361']"
5,19,2,"['P527', 'P361']"
5,41,2,"['P527', 'P361']"
5,55,2,"['P527', 'P361']"
5,56,2,"['P527', 'P361']"
5,89,2,"['P527', 'P361']"
5,90,2,"['P527', 'P361']"
5,91,2,"['P527', 'P361']"
5,92,3,"['P527', 'P361', 'P361']"
5,95,2,"['P527', 'P361']"
5,98,2,"['P527', 'P361']"
5,111,2,"['P527', 'P361']"
5,112,2,"['P527', 'P361']"
5,139,2,"['P527', 'P361']"
5,145,2,"['P527', 'P361']"
5,172,2,"['P527', 'P361']"
5,177,2,"['P527', 'P361']"
5,196,2,"['P527', 'P361']"
5,219,2,"['P527', 'P361']"
5,222,2,"['P527', 'P361']"
5,280,2,"['P527', 'P361']"
5,281,2,"['P527', 'P361']"
5,296,2,"['P527', 'P361']"
5,142,1,['P361']
5,221,1,['P361']
6,46,5,"['P279', 'P527', 'P361', 'P527', 'P361']"
6,191,3,"['P279', 'P361', 'P527']"
6,8,3,"['P460', 'P361', 'P527']"
6,37,3,"['P460', 'P361', 'P527']"
6,99,3,"['P460', 'P361', 'P527']"
6,103,3,"['P460', 'P361', 'P527']"
6,106,3,"['P460', 'P361', 'P527']"
6,108,6,"['P460', 'P527', 'P361', 'P527', 'P361', 'P361']"
6,109,3,"['P460', 'P361', 'P527']"
6,123,3,"['P460', 'P361', 'P527']"
6,169,1,['P460']
6,175,3,"['P460', 'P361', 'P527']"
6,181,1,['P460']
6,193,3,"['P460', 'P361', 'P527']"
6,207,2,"['P460', 'P361']"
6,214,3,"['P460', 'P527', 'P361']"
6,244,1,['P460']
6,254,1,['P460']
6,262,3,"['P460', 'P361', 'P527']"
6,288,1,['P460']
6,6,4,"['P527', 'P361', 'P527', 'P361']"
6,13,2,"['P527', 'P361']"
6,15,4,"['P527', 'P361', 'P527', 'P361']"
6,19,4,"['P527', 'P361', 'P527', 'P361']"
6,41,2,"['P527', 'P361']"
6,55,2,"['P527', 'P361']"
6,56,4,"['P527', 'P361', 'P527', 'P361']"
6,89,3,"['P527', 'P361', 'P361']"
6,90,4,"['P527', 'P361', 'P527', 'P361']"
6,91,3,"['P527', 'P361', 'P361']"
6,92,4,"['P527', 'P361', 'P527', 'P361']"
6,95,2,"['P527', 'P361']"
6,98,3,"['P527', 'P361', 'P361']"
6,111,5,"['P527', 'P361', 'P527', 'P361', 'P361']"
6,112,4,"['P527', 'P361', 'P527', 'P361']"
6,139,2,"['P527', 'P361']"
6,145,4,"['P527', 'P361', 'P527', 'P361']"
6,172,2,"['P527', 'P361']"
6,177,3,"['P527', 'P361', 'P361']"
6,196,2,"['P527', 'P361']"
6,219,2,"['P527', 'P361']"
6,222,2,"['P527', 'P361']"
6,280,2,"['P527', 'P361']"
6,281,2,"['P527', 'P361']"
6,296,2,"['P527', 'P361']"
6,93,1,['P279']
6,107,3,"['P279', 'P361', 'P527']"
6,1,2,"['P361', 'P527']"
6,2,2,"['P361', 'P527']"
6,5,2,"['P361', 'P527']"
6,10,2,"['P361', 'P527']"
6,11,2,"['P361', 'P527']"
6,12,2,"['P361', 'P527']"
6,14,2,"['P361', 'P527']"
6,26,2,"['P361', 'P527']"
6,27,2,"['P361', 'P527']"
6,35,2,"['P361', 'P527']"
6,39,2,"['P361', 'P527']"
6,40,3,"['P361', 'P527', 'P361']"
6,50,2,"['P361', 'P527']"
6,53,2,"['P361', 'P527']"
6,59,2,"['P361', 'P527']"
6,70,2,"['P361', 'P527']"
6,83,2,"['P361', 'P527']"
6,84,2,"['P361', 'P527']"
6,87,2,"['P361', 'P527']"
6,88,2,"['P361', 'P527']"
6,94,2,"['P361', 'P527']"
6,96,2,"['P361', 'P527']"
6,97,2,"['P361', 'P527']"
6,102,2,"['P361', 'P527']"
6,105,2,"['P361', 'P527']"
6,116,2,"['P361', 'P527']"
6,117,2,"['P361', 'P527']"
6,119,3,"['P361', 'P527', 'P361']"
6,125,2,"['P361', 'P527']"
6,127,2,"['P361', 'P527']"
6,132,2,"['P361', 'P527']"
6,137,2,"['P361', 'P527']"
6,144,2,"['P361', 'P527']"
6,148,2,"['P361', 'P527']"
6,149,2,"['P361', 'P527']"
6,157,2,"['P361', 'P527']"
6,160,2,"['P361', 'P527']"
6,162,2,"['P361', 'P527']"
6,173,2,"['P361', 'P527']"
6,174,2,"['P361', 'P527']"
6,180,2,"['P361', 'P527']"
6,203,2,"['P361', 'P527']"
6,204,2,"['P361', 'P527']"
6,213,2,"['P361', 'P527']"
6,221,2,"['P361', 'P527']"
6,223,2,"['P361', 'P527']"
6,233,2,"['P361', 'P527']"
6,245,3,"['P361', 'P527', 'P361']"
6,246,2,"['P361', 'P527']"
6,251,2,"['P361', 'P527']"
6,252,2,"['P361', 'P527']"
6,255,2,"['P361', 'P527']"
6,258,2,"['P361', 'P527']"
6,260,2,"['P361', 'P527']"
6,270,2,"['P361', 'P527']"
6,273,2,"['P361', 'P527']"
6,275,2,"['P361', 'P527']"
6,287,2,"['P361', 'P527']"
6,291,2,"['P361', 'P527']"
6,295,2,"['P361', 'P527']"
6,298,2,"['P361', 'P527']"
6,20,1,['P361']
6,115,1,['P361']
6,269,1,['P361']
6,285,1,['P361']
8,6,3,"['P527', 'P460', 'P361']"
8,13,2,"['P527', 'P361']"
8,15,2,"['P527', 'P361']"
8,19,2,"['P527', 'P361']"
8,41,4,"['P527', 'P460', 'P460', 'P361']"
8,46,5,"['P527', 'P460', 'P279', 'P361', 'P31']"
8,55,3,"['P527', 'P460', 'P361']"
8,56,3,"['P527', 'P460', 'P361']"
8,89,3,"['P527', 'P460', 'P361']"
8,90,2,"['P527', 'P361']"
8,91,2,"['P527', 'P361']"
8,92,2,"['P527', 'P361']"
8,95,2,"['P527', 'P361']"
8,98,2,"['P527', 'P361']"
8,108,3,"['P527', 'P460', 'P361']"
8,111,2,"['P527', 'P361']"
8,112,2,"['P527', 'P361']"
8,139,3,"['P527', 'P460', 'P361']"
8,145,3,"['P527', 'P460', 'P361']"
8,172,2,"['P527', 'P361']"
8,177,3,"['P527', 'P460', 'P361']"
8,196,2,"['P527', 'P361']"
8,214,2,"['P527', 'P361']"
8,219,2,"['P527', 'P361']"
8,222,3,"['P527', 'P460', 'P361']"
8,280,2,"['P527', 'P361']"
8,281,2,"['P527', 'P361']"
8,296,3,"['P527', 'P460', 'P361']"
8,0,1,['P460']
8,1,1,['P460']
8,5,1,['P460']
8,14,1,['P460']
8,24,1,['P460']
8,26,1,['P460']
8,34,1,['P460']
8,37,2,"['P460', 'P460']"
8,39,1,['P460']
8,43,1,['P460']
8,48,1,['P460']
8,57,1,['P460']
8,58,1,['P460']
8,61,1,['P460']
8,62,1,['P460']
8,74,1,['P460']
8,78,1,['P460']
8,86,1,['P460']
8,93,2,"['P460', 'P460']"
8,96,2,"['P460', 'P460']"
8,99,1,['P460']
8,100,2,"['P460', 'P460']"
8,103,2,"['P460', 'P460']"
8,106,1,['P460']
8,109,1,['P460']
8,117,2,"['P460', 'P279']"
8,118,1,['P460']
8,119,3,"['P460', 'P460', 'P31']"
8,121,1,['P460']
8,122,1,['P460']
8,123,1,['P460']
8,124,1,['P460']
8,125,1,['P460']
8,127,1,['P460']
8,132,3,"['P460', 'P460', 'P279']"
8,134,1,['P460']
8,144,1,['P460']
8,147,1,['P460']
8,148,1,['P460']
8,152,1,['P460']
8,154,1,['P460']
8,155,1,['P460']
8,157,1,['P460']
8,169,1,['P460']
8,170,2,"['P460', 'P460']"
8,178,1,['P460']
8,181,1,['P460']
8,193,1,['P460']
8,198,1,['P460']
8,206,1,['P460']
8,207,2,"['P460', 'P460']"
8,209,1,['P460']
8,212,1,['P460']
8,213,1,['P460']
8,221,1,['P460']
8,224,1,['P460']
8,233,1,['P460']
8,241,1,['P460']
8,245,2,"['P460', 'P460']"
8,249,1,['P460']
8,253,1,['P460']
8,254,1,['P460']
8,259,1,['P460']
8,262,2,"['P460', 'P460']"
8,264,1,['P460']
8,266,1,['P460']
8,267,1,['P460']
8,269,1,['P460']
8,273,1,['P460']
8,283,1,['P460']
8,286,2,"['P460', 'P460']"
8,288,1,['P460']
8,289,1,['P460']
8,294,1,['P460']
8,191,1,['P279']
8,94,1,['P279']
8,114,1,['P279']
8,126,1,['P279']
10,93,1,['P1382']
10,103,1,['P1382']
10,177,3,"['P1382', 'P527', 'P361']"
10,245,1,['P1382']
10,262,1,['P1382']
10,286,1,['P1382']
10,6,2,"['P527', 'P361']"
10,13,2,"['P527', 'P361']"
10,15,2,"['P527', 'P361']"
10,19,2,"['P527', 'P361']"
10,41,2,"['P527', 'P361']"
10,46,2,"['P527', 'P361']"
10,55,2,"['P527', 'P361']"
10,56,2,"['P527', 'P361']"
10,89,2,"['P527', 'P361']"
10,90,2,"['P527', 'P361']"
10,91,2,"['P527', 'P361']"
10,92,2,"['P527', 'P361']"
10,95,2,"['P527', 'P361']"
10,98,2,"['P527', 'P361']"
10,108,2,"['P527', 'P361']"
10,111,2,"['P527', 'P361']"
10,112,2,"['P527', 'P361']"
10,139,2,"['P527', 'P361']"
10,145,2,"['P527', 'P361']"
10,172,2,"['P527', 'P361']"
10,196,2,"['P527', 'P361']"
10,214,2,"['P527', 'P361']"
10,219,2,"['P527', 'P361']"
10,222,2,"['P527', 'P361']"
10,280,2,"['P527', 'P361']"
10,281,2,"['P527', 'P361']"
10,296,2,"['P527', 'P361']"
11,6,2,"['P527', 'P361']"
11,13,2,"['P527', 'P361']"
11,15,2,"['P527', 'P361']"
11,19,2,"['P527', 'P361']"
11,41,2,"['P527', 'P361']"
11,46,2,"['P527', 'P361']"
11,55,2,"['P527', 'P361']"
11,56,2,"['P527', 'P361']"
11,89,2,"['P527', 'P361']"
11,90,2,"['P527', 'P361']"
11,91,2,"['P527', 'P361']"
11,92,2,"['P527', 'P361']"
11,95,2,"['P527', 'P361']"
11,98,2,"['P527', 'P361']"
11,108,2,"['P527', 'P361']"
11,111,2,"['P527', 'P361']"
11,112,2,"['P527', 'P361']"
11,139,2,"['P527', 'P361']"
11,145,2,"['P527', 'P361']"
11,172,2,"['P527', 'P361']"
11,177,2,"['P527', 'P361']"
11,196,2,"['P527', 'P361']"
11,214,2,"['P527', 'P361']"
11,219,2,"['P527', 'P361']"
11,222,2,"['P527', 'P361']"
11,280,2,"['P527', 'P361']"
11,281,2,"['P527', 'P361']"
11,296,2,"['P527', 'P361']"
12,93,2,"['P1382', 'P361']"
12,103,3,"['P1382', 'P361', 'P361']"
12,177,4,"['P1382', 'P527', 'P361', 'P361']"
12,245,1,['P1382']
12,262,2,"['P1382', 'P361']"
12,286,1,['P1382']
12,6,2,"['P527', 'P361']"
12,13,2,"['P527', 'P361']"
12,15,3,"['P527', 'P361', 'P361']"
12,19,2,"['P527', 'P361']"
12,41,2,"['P527', 'P361']"
12,46,2,"['P527', 'P361']"
12,55,2,"['P527', 'P361']"
12,56,2,"['P527', 'P361']"
12,89,2,"['P527', 'P361']"
12,90,3,"['P527', 'P361', 'P361']"
12,91,3,"['P527', 'P361', 'P361']"
12,92,2,"['P527', 'P361']"
12,95,2,"['P527', 'P361']"
12,98,2,"['P527', 'P361']"
12,108,2,"['P527', 'P361']"
12,111,4,"['P527', 'P361', 'P361', 'P361']"
12,112,2,"['P527', 'P361']"
12,139,2,"['P527', 'P361']"
12,145,3,"['P527', 'P361', 'P361']"
12,172,2,"['P527', 'P361']"
12,196,2,"['P527', 'P361']"
12,214,2,"['P527', 'P361']"
12,219,2,"['P527', 'P361']"
12,222,2,"['P527', 'P361']"
12,280,2,"['P527', 'P361']"
12,281,2,"['P527', 'P361']"
12,296,2,"['P527', 'P361']"
12,179,1,['P279']
12,181,1,['P279']
12,1,1,['P361']
12,49,1,['P361']
12,106,1,['P361']
12,260,1,['P361']
12,14,1,['P361']
12,110,1,['P361']
12,116,2,"['P361', 'P361']"
12,117,2,"['P361', 'P361']"
12,240,1,['P361']
12,241,2,"['P361', 'P361']"
12,247,1,['P361']
12,269,1,['P361']
13,1,2,"['P361', 'P527']"
13,2,2,"['P361', 'P527']"
13,5,2,"['P361', 'P527']"
13,6,2,"['P361', 'P527']"
13,8,2,"['P361', 'P527']"
13,10,2,"['P361', 'P527']"
13,11,2,"['P361', 'P527']"
13,12,2,"['P361', 'P527']"
13,14,2,"['P361', 'P527']"
13,15,2,"['P361', 'P527']"
13,19,2,"['P361', 'P527']"
13,26,2,"['P361', 'P527']"
13,27,2,"['P361', 'P527']"
13,35,2,"['P361', 'P527']"
13,37,2,"['P361', 'P527']"
13,39,2,"['P361', 'P527']"
13,40,3,"['P361', 'P527', 'P361']"
13,46,2,"['P361', 'P527']"
13,50,2,"['P361', 'P527']"
13,53,2,"['P361', 'P527']"
13,56,2,"['P361', 'P527']"
13,59,2,"['P361', 'P527']"
13,70,2,"['P361', 'P527']"
13,83,2,"['P361', 'P527']"
13,84,2,"['P361', 'P527']"
13,87,2,"['P361', 'P527']"
13,88,2,"['P361', 'P527']"
13,90,2,"['P361', 'P527']"
13,92,2,"['P361', 'P527']"
13,94,2,"['P361', 'P527']"
13,96,2,"['P361', 'P527']"
13,97,2,"['P361', 'P527']"
13,99,2,"['P361', 'P527']"
13,102,2,"['P361', 'P527']"
13,103,2,"['P361', 'P527']"
13,105,2,"['P361', 'P527']"
13,106,2,"['P361', 'P527']"
13,107,2,"['P361', 'P527']"
13,108,3,"['P361', 'P527', 'P361']"
13,109,2,"['P361', 'P527']"
13,111,3,"['P361', 'P527', 'P361']"
13,112,2,"['P361', 'P527']"
13,116,2,"['P361', 'P527']"
13,117,2,"['P361', 'P527']"
13,119,3,"['P361', 'P527', 'P361']"
13,123,2,"['P361', 'P527']"
13,125,2,"['P361', 'P527']"
13,127,2,"['P361', 'P527']"
13,132,2,"['P361', 'P527']"
13,137,2,"['P361', 'P527']"
13,144,2,"['P361', 'P527']"
13,145,2,"['P361', 'P527']"
13,148,2,"['P361', 'P527']"
13,149,2,"['P361', 'P527']"
13,157,2,"['P361', 'P527']"
13,160,2,"['P361', 'P527']"
13,162,2,"['P361', 'P527']"
13,173,2,"['P361', 'P527']"
13,174,2,"['P361', 'P527']"
13,175,2,"['P361', 'P527']"
13,180,2,"['P361', 'P527']"
13,191,2,"['P361', 'P527']"
13,193,2,"['P361', 'P527']"
13,203,2,"['P361', 'P527']"
13,204,2,"['P361', 'P527']"
13,213,2,"['P361', 'P527']"
13,221,2,"['P361', 'P527']"
13,223,2,"['P361', 'P527']"
13,233,2,"['P361', 'P527']"
13,245,3,"['P361', 'P527', 'P361']"
13,246,2,"['P361', 'P527']"
13,251,2,"['P361', 'P527']"
13,252,2,"['P361', 'P527']"
13,255,2,"['P361', 'P527']"
13,258,2,"['P361', 'P527']"
13,260,2,"['P361', 'P527']"
13,262,2,"['P361', 'P527']"
13,270,2,"['P361', 'P527']"
13,273,2,"['P361', 'P527']"
13,275,2,"['P361', 'P527']"
13,287,2,"['P361', 'P527']"
13,291,2,"['P361', 'P527']"
13,295,2,"['P361', 'P527']"
13,298,2,"['P361', 'P527']"
13,20,1,['P361']
13,89,1,['P361']
13,91,1,['P361']
13,98,1,['P361']
13,115,1,['P361']
13,177,1,['P361']
13,207,1,['P361']
13,269,1,['P361']
13,285,1,['P361']
14,46,4,"['P279', 'P527', 'P1269', 'P361']"
14,191,2,"['P279', 'P1269']"
14,8,1,['P460']
14,37,2,"['P460', 'P460']"
14,99,1,['P460']
14,103,2,"['P460', 'P425']"
14,106,1,['P460']
14,108,3,"['P460', 'P527', 'P361']"
14,109,1,['P460']
14,123,2,"['P460', 'P460']"
14,169,2,"['P460', 'P279']"
14,175,1,['P460']
14,181,1,['P460']
14,193,1,['P460']
14,207,1,['P460']
14,214,3,"['P460', 'P527', 'P361']"
14,244,1,['P460']
14,254,1,['P460']
14,262,1,['P460']
14,288,2,"['P460', 'P460']"
14,6,2,"['P527', 'P361']"
14,13,2,"['P527', 'P361']"
14,15,3,"['P527', 'P361', 'P361']"
14,19,2,"['P527', 'P361']"
14,41,2,"['P527', 'P361']"
14,55,3,"['P527', 'P361', 'P425']"
14,56,2,"['P527', 'P361']"
14,89,2,"['P527', 'P361']"
14,90,3,"['P527', 'P361', 'P361']"
14,91,2,"['P527', 'P361']"
14,92,2,"['P527', 'P361']"
14,95,2,"['P527', 'P361']"
14,98,2,"['P527', 'P361']"
14,111,3,"['P527', 'P361', 'P361']"
14,112,2,"['P527', 'P361']"
14,139,3,"['P527', 'P460', 'P361']"
14,145,2,"['P527', 'P361']"
14,172,2,"['P527', 'P361']"
14,177,2,"['P527', 'P361']"
14,196,2,"['P527', 'P361']"
14,219,2,"['P527', 'P361']"
14,222,2,"['P527', 'P361']"
14,280,2,"['P527', 'P361']"
14,281,2,"['P527', 'P361']"
14,296,2,"['P527', 'P361']"
14,93,2,"['P279', 'P366']"
14,107,2,"['P279', 'P366']"
14,12,1,['P361']
14,87,1,['P361']
14,117,1,['P361']
14,174,1,['P361']
14,180,1,['P361']
14,119,1,['P460']
14,233,1,['P460']
14,58,1,['P279']
14,62,1,['P279']
14,124,1,['P279']
14,129,1,['P279']
14,151,1,['P279']
14,153,1,['P279']
14,277,1,['P279']
14,292,1,['P279']
15,123,3,"['P180', 'P361', 'P527']"
15,240,2,"['P180', 'P361']"
15,277,3,"['P180', 'P461', 'P279']"
15,278,1,['P180']
15,6,4,"['P527', 'P361', 'P527', 'P361']"
15,13,2,"['P527', 'P361']"
15,15,8,"['P527', 'P361', 'P361', 'P461', 'P461', 'P527', 'P361', 'P361']"
15,19,6,"['P527', 'P361', 'P527', 'P361', 'P1269', 'P279']"
15,41,2,"['P527', 'P361']"
15,46,4,"['P527', 'P361', 'P527', 'P361']"
15,55,4,"['P527', 'P361', 'P31', 'P425']"
15,56,4,"['P527', 'P361', 'P527', 'P361']"
15,89,3,"['P527', 'P361', 'P361']"
15,90,8,"['P527', 'P361', 'P361', 'P461', 'P461', 'P527', 'P361', 'P361']"
15,91,6,"['P527', 'P361', 'P361', 'P1269', 'P279', 'P361']"
15,92,4,"['P527', 'P361', 'P527', 'P361']"
15,95,4,"['P527', 'P361', 'P1269', 'P279']"
15,98,5,"['P527', 'P461', 'P361', 'P361', 'P31']"
15,108,5,"['P527', 'P361', 'P527', 'P361', 'P361']"
15,111,14,"['P527', 'P361', 'P361', 'P461', 'P527', 'P361', 'P361', 'P361', 'P1269', 'P279', 'P361', 'P31', 'P31', 'P279']"
15,112,4,"['P527', 'P361', 'P527', 'P361']"
15,139,2,"['P527', 'P361']"
15,145,5,"['P527', 'P361', 'P361', 'P527', 'P361']"
15,172,2,"['P527', 'P361']"
15,177,4,"['P527', 'P361', 'P361', 'P361']"
15,196,2,"['P527', 'P361']"
15,214,2,"['P527', 'P361']"
15,219,2,"['P527', 'P361']"
15,222,2,"['P527', 'P361']"
15,280,2,"['P527', 'P361']"
15,281,2,"['P527', 'P361']"
15,296,3,"['P527', 'P361', 'P31']"
15,1,3,"['P361', 'P361', 'P527']"
15,2,2,"['P361', 'P527']"
15,5,2,"['P361', 'P527']"
15,8,2,"['P361', 'P527']"
15,10,2,"['P361', 'P527']"
15,11,2,"['P361', 'P527']"
15,12,3,"['P361', 'P361', 'P527']"
15,14,3,"['P361', 'P527', 'P361']"
15,26,2,"['P361', 'P527']"
15,27,5,"['P361', 'P527', 'P1269', 'P279', 'P279']"
15,35,2,"['P361', 'P527']"
15,37,2,"['P361', 'P527']"
15,39,4,"['P361', 'P527', 'P1269', 'P279']"
15,40,3,"['P361', 'P527', 'P361']"
15,50,2,"['P361', 'P527']"
15,53,2,"['P361', 'P527']"
15,59,2,"['P361', 'P527']"
15,70,2,"['P361', 'P527']"
15,83,2,"['P361', 'P527']"
15,84,2,"['P361', 'P527']"
15,87,3,"['P361', 'P361', 'P527']"
15,88,2,"['P361', 'P527']"
15,94,2,"['P361', 'P527']"
15,96,3,"['P361', 'P527', 'P31']"
15,97,7,"['P361', 'P461', 'P461', 'P527', 'P1269', 'P279', 'P31']"
15,99,3,"['P361', 'P527', 'P31']"
15,102,2,"['P361', 'P527']"
15,103,5,"['P361', 'P361', 'P527', 'P361', 'P425']"
15,105,2,"['P361', 'P527']"
15,106,6,"['P361', 'P361', 'P527', 'P1269', 'P279', 'P31']"
15,107,5,"['P361', 'P279', 'P1889', 'P527', 'P366']"
15,109,2,"['P361', 'P527']"
15,116,6,"['P361', 'P461', 'P461', 'P527', 'P361', 'P361']"
15,117,6,"['P361', 'P361', 'P461', 'P527', 'P361', 'P361']"
15,119,3,"['P361', 'P527', 'P361']"
15,125,3,"['P361', 'P527', 'P31']"
15,127,3,"['P361', 'P527', 'P31']"
15,132,3,"['P361', 'P461', 'P527']"
15,137,2,"['P361', 'P527']"
15,144,2,"['P361', 'P527']"
15,148,2,"['P361', 'P527']"
15,149,2,"['P361', 'P527']"
15,157,2,"['P361', 'P527']"
15,160,3,"['P361', 'P527', 'P279']"
15,162,2,"['P361', 'P527']"
15,173,2,"['P361', 'P527']"
15,174,5,"['P361', 'P361', 'P461', 'P527', 'P31']"
15,175,3,"['P361', 'P527', 'P279']"
15,180,5,"['P361', 'P361', 'P461', 'P527', 'P31']"
15,191,2,"['P361', 'P527']"
15,193,3,"['P361', 'P527', 'P31']"
15,203,2,"['P361', 'P527']"
15,204,2,"['P361', 'P527']"
15,213,2,"['P361', 'P527']"
15,221,2,"['P361', 'P527']"
15,223,2,"['P361', 'P527']"
15,233,5,"['P361', 'P461', 'P527', 'P1269', 'P279']"
15,245,3,"['P361', 'P527', 'P361']"
15,246,3,"['P361', 'P527', 'P279']"
15,251,3,"['P361', 'P527', 'P31']"
15,252,2,"['P361', 'P527']"
15,255,2,"['P361', 'P527']"
15,258,2,"['P361', 'P527']"
15,260,3,"['P361', 'P361', 'P527']"
15,262,3,"['P361', 'P361', 'P527']"
15,270,2,"['P361', 'P527']"
15,273,2,"['P361', 'P527']"
15,275,3,"['P361', 'P527', 'P279']"
15,287,3,"['P361', 'P527', 'P279']"
15,291,2,"['P361', 'P527']"
15,295,2,"['P361', 'P527']"
15,298,2,"['P361', 'P527']"
15,247,3,"['P461', 'P361', 'P31']"
15,93,4,"['P279', 'P1889', 'P361', 'P366']"
15,49,1,['P361']
15,110,2,"['P361', 'P31']"
15,241,2,"['P361', 'P361']"
15,269,2,"['P361', 'P361']"
15,20,1,['P361']
15,115,1,['P361']
15,207,1,['P361']
15,285,1,['P361']
15,58,1,['P279']
15,62,1,['P279']
15,124,1,['P279']
15,129,1,['P279']
15,151,1,['P279']
15,153,1,['P279']
15,169,1,['P279']
15,292,1,['P279']
15,182,1,['P279']
15,211,1,['P279']
16,20,2,"['P361', 'P2670']"
16,40,2,"['P361', 'P2670']"
16,89,2,"['P361', 'P2670']"
16,91,2,"['P361', 'P2670']"
16,98,2,"['P361', 'P2670']"
16,108,2,"['P361', 'P2670']"
16,111,2,"['P361', 'P2670']"
16,115,2,"['P361', 'P2670']"
16,119,2,"['P361', 'P2670']"
16,177,2,"['P361', 'P2670']"
16,207,2,"['P361', 'P2670']"
16,245,2,"['P361', 'P2670']"
16,269,2,"['P361', 'P2670']"
16,285,2,"['P361', 'P2670']"
16,123,2,"['P279', 'P361']"
16,240,2,"['P279', 'P361']"
16,277,2,"['P279', 'P361']"
16,278,2,"['P279', 'P361']"
17,111,1,['P279']
17,160,1,['P279']
17,175,1,['P279']
17,182,1,['P279']
17,211,1,['P279']
17,246,1,['P279']
