entity1,relation,entity2
Q52946,P461,Q9510
Q52946,P279,Q11024
Q52946,P366,Q11024
Q83323,P366,Q11451
Q83323,P279,Q79529
Q515,P279,Q177634
Q515,P1889,Q3957
Q515,P3729,Q3957
Q3548078,P31,Q4830453
Q575,P527,Q36402
Q575,P156,Q7722
Q575,P361,Q573
Q178561,P361,Q198
Q178561,P279,Q650711
Q203607,P31,Q8142
Q2207370,P279,Q14745
Q131734,P279,Q4830453
Q131734,P1056,Q44
Q131734,P1889,Q187456
Q869095,P1056,Q44
Q869095,P279,Q187939
Q869095,P31,Q8148
Q869095,P3095,Q131734
Q194166,P279,Q43229
Q41298,P279,Q43229
Q40843,P279,Q80071
Q716894,P2670,Q1400881
Q716894,P1382,Q157171
Q716894,P279,Q93288
Q328554,P31,Q151885
Q5090,P279,Q12117
Q5090,P279,Q235352
Q5090,P527,Q41534
Q10949665,P279,Q326653
Q10949665,P425,Q181487
Q8078,P527,Q179289
Q8078,P31,Q336
Q180846,P279,Q1295201
Q326653,P425,Q4116214
Q1630279,P1889,Q690194
Q156223,P279,Q43183
Q15978655,P460,Q2994387
Q224617,P279,Q41176
Q336,P1056,Q9081
Q157470,P31,Q151885
Q157470,P461,Q157165
Q177,P527,Q42962
Q177,P527,Q11254
Q177,P1419,Q17278
Q14761450,P279,Q4175034
Q28823,P279,Q214609
Q28823,P186,Q161
Q28823,P366,Q11460
Q628523,P279,Q11028
Q628523,P366,Q11024
Q628523,P1552,Q1530061
Q796919,P1889,Q946865
Q4750689,P31,Q4830453
Q2785824,P279,Q83267
Q34486,P366,Q765633
Q319604,P31,Q215627
Q44167,P279,Q11019
Q21450635,P460,Q30242516
Q218038,P31,Q4830453
Q218038,P452,Q11650
Q11460,P186,Q28823
Q11460,P366,Q2526135
Q1121708,P279,Q2995644
Q740777,P361,Q39809
Q740777,P527,Q37038
Q15098235,P1382,Q481609
Q59434791,P279,Q49848
Q59434791,P366,Q194489
Q131512,P425,Q11451
Q131512,P1830,Q131596
Q15180,P47,Q33
Q15180,P47,Q43
Q15180,P530,Q20
Q15180,P530,Q43
Q15180,P530,Q928
Q15180,P138,Q7270
Q45190,P31,Q131790
Q3962655,P461,Q188572
Q165,P279,Q2221906
Q603253,P31,Q4830453
Q603253,P1454,Q658255
Q39558,P31,Q42501
Q43483,P1889,Q483453
Q1200733,P461,Q4290
Q282,P366,Q40050
Q380075,P279,Q40348
Q380075,P460,Q40348
Q327245,P279,Q43229
Q40763,P279,Q2095
Q788790,P279,Q11028
Q505213,P279,Q83405
Q505213,P279,Q4830453
Q11410,P279,Q173799
Q177634,P279,Q43229
Q7743,P279,Q41176
Q7743,P279,Q3947
Q190868,P279,Q161928
Q172226,P279,Q39546
Q35758,P1552,Q11423
Q35758,P1552,Q11466
Q7925,P279,Q11663
Q7925,P527,Q283
Q690194,P1889,Q1630279
Q164359,P279,Q9081
Q164359,P1382,Q46744
Q164359,P1382,Q9081
Q25294,P527,Q200266
Q25294,P1552,Q11423
Q25294,P366,Q385378
Q35852,P111,Q11500
Q789774,P279,Q44167
Q22698,P279,Q2221906
Q2138622,P279,Q336
Q2138622,P2578,Q2095
Q4358176,P279,Q43229
Q9964,P527,Q9963
Q43193,P366,Q651658
Q8094,P1269,Q11663
Q4175034,P425,Q49371
Q4175034,P279,Q192581
Q160289,P279,Q160402
Q160289,P31,Q173253
Q160289,P527,Q11461
Q5167661,P279,Q151885
Q8486,P279,Q40050
Q8486,P495,Q96
Q6097,P279,Q61951
Q6097,P527,Q283
Q6097,P186,Q11002
Q6097,P186,Q283
Q765633,P366,Q7590
Q765633,P366,Q650711
Q765633,P366,Q42240
Q765633,P3095,Q2095549
Q13360264,P2079,Q720398
Q40867,P279,Q79529
Q208046,P31,Q46970
Q17131110,P279,Q15978655
Q79782,P1552,Q11376
Q746628,P279,Q180516
Q127980,P279,Q214609
Q1664551,P31,Q151885
Q8016240,P710,Q41487
Q15645384,P279,Q12117
Q15645384,P279,Q2095
Q28207096,P31,Q4830453
Q2974437,P31,Q4830453
Q11247037,P111,Q11423
Q25288,P279,Q11402
Q25288,P828,Q11412
Q25288,P1889,Q11423
Q25288,P4934,Q11423
Q7216332,P279,Q309100
Q7216332,P279,Q748250
Q7216332,P460,Q309100
Q7216332,P1889,Q309100
Q7216332,P1382,Q748250
Q1137632,P31,Q43229
Q121117,P279,Q68
Q9510,P1552,Q468777
Q9510,P31,Q151885
Q9510,P1889,Q10494269
Q1489259,P279,Q6266
Q231043,P279,Q628523
Q7958,P3712,Q46744
Q1634657,P106,Q193391
Q674911,P31,Q4830453
Q179723,P2283,Q729
Q1123417,P279,Q214609
Q28813,P279,Q83267
Q334401,P279,Q2143522
Q334401,P361,Q10566551
Q234129,P31,Q8142
Q174984,P279,Q42848
Q174984,P1542,Q11028
Q50000,P279,Q2995644
Q192630,P279,Q11471
Q192630,P156,Q193168
Q192630,P361,Q11471
Q192630,P31,Q173253
Q192630,P461,Q344
Q134574,P279,Q39546
Q134574,P279,Q11019
Q4182927,P279,Q160117
Q129238,P279,Q4830453
Q131841,P361,Q9420
Q131841,P279,Q151885
Q131841,P460,Q151885
Q12140,P279,Q8386
Q12140,P1889,Q8386
Q431289,P279,Q167270
Q283202,P279,Q39594
Q283202,P1889,Q44782
Q82604,P3095,Q5322166
Q5322166,P425,Q82604
Q6821213,P461,Q194489
Q677,P279,Q12140
Q677,P31,Q11426
Q12117,P279,Q2995529
Q188577,P31,Q211364
Q24091434,P279,Q2979
Q186619,P279,Q628523
Q186619,P3712,Q1231428
Q168182,P461,Q36402
Q168182,P361,Q573
Q168182,P156,Q283102
Q7270,P279,Q7174
Q192628,P279,Q10990
Q1123399,P31,Q4830453
Q8441,P461,Q467
Q8441,P361,Q8436
Q483453,P1889,Q43483
Q163446,P527,Q28823
Q1459595,P31,Q4830453
Q8425,P31,Q151885
Q133346,P1889,Q1355821
Q584,P31,Q1267889
Q584,P17,Q142
Q584,P205,Q142
Q4022,P527,Q283
Q697279,P279,Q49848
Q1123823,P31,Q22687
Q1123823,P31,Q4830453
Q1123823,P17,Q33
Q193078,P279,Q481609
Q193078,P828,Q171558
Q7944,P1542,Q167903
Q7944,P1542,Q3839081
Q1096,P279,Q11426
Q1096,P31,Q79529
Q1282130,P31,Q4830453
Q1282130,P1056,Q22656
Q7204,P31,Q82794
Q727002,P31,Q49848
Q727002,P31,Q93288
Q34394,P1889,Q34302
Q1041750,P31,Q167270
Q1041750,P31,Q44
Q1041750,P31,Q131734
Q1041750,P452,Q869095
Q1041750,P1056,Q44
Q171558,P1542,Q193078
Q171558,P1542,Q4
Q26643,P921,Q601401
Q26643,P460,Q601401
Q25653,P279,Q11446
Q194489,P279,Q1344851
Q10566551,P461,Q104493
Q10566551,P1552,Q190258
Q10566551,P1889,Q2526135
Q93352,P279,Q468756
Q36794,P279,Q264661
Q36794,P527,Q35473
Q193168,P156,Q344
Q193168,P155,Q192630
Q193168,P361,Q11471
Q167903,P828,Q7944
Q3957,P361,Q6256
Q3957,P1889,Q515
Q3957,P279,Q177634
Q3957,P3730,Q515
Q500251,P279,Q43845
Q191086,P279,Q82794
Q828224,P111,Q36253
Q11457,P279,Q161
Q11457,P31,Q161
Q161,P279,Q214609
Q161,P366,Q28823
Q11573,P111,Q36253
Q11573,P111,Q126017
Q218593,P111,Q36253
Q1267889,P276,Q4022
Q1267889,P276,Q12284
Q1267889,P276,Q23397
Q11423,P1552,Q122508
Q11423,P1552,Q11379
Q11423,P361,Q11402
Q11423,P1889,Q25288
Q11423,P1542,Q11402
Q829492,P279,Q601401
Q7414,P1056,Q7397
Q7390,P366,Q52946
Q7390,P366,Q27939
Q1566,P527,Q33971
Q1566,P1535,Q1578
Q102066,P279,Q9081
Q28575,P150,Q515
Q830036,P31,Q8148
Q830036,P279,Q1369832
Q7108,P279,Q11016
Q4,P461,Q3
Q4,P361,Q3
Q194105,P460,Q3972943
Q217164,P461,Q221706
Q27318,P279,Q1379672
Q40050,P279,Q11435
Q40050,P279,Q2095
Q22676,P279,Q161928
Q181114,P452,Q190117
Q181114,P1056,Q43193
Q181114,P1056,Q1420
Q181114,P199,Q30113
Q181114,P355,Q30113
Q1751574,P527,Q3196867
Q595094,P461,Q10861465
Q216774,P31,Q151885
Q16886469,P279,Q151885
Q10990,P279,Q2095
Q178559,P279,Q2095
Q902,P530,Q41
Q902,P530,Q43
Q902,P530,Q928
Q902,P530,Q842
Q902,P530,Q96
Q902,P530,Q32
Q902,P530,Q142
Q902,P31,Q6256
Q14660,P279,Q806880
Q14660,P180,Q6256
Q1641044,P31,Q4830453
Q1641044,P1056,Q42501
Q573103,P31,Q4830453
Q573103,P159,Q1715
Q79871,P461,Q44619
Q1425316,P31,Q4830453
Q694468,P31,Q4830453
Q3972943,P1056,Q732577
Q3972943,P460,Q194105
Q11412,P1542,Q25288
Q1445650,P279,Q573
Q253276,P111,Q36253
Q10861465,P461,Q595094
Q309,P1269,Q192630
Q30113,P31,Q431289
Q30113,P31,Q4830453
Q30113,P749,Q181114
Q30113,P452,Q190117
Q30113,P1454,Q658255
Q663,P279,Q12140
Q663,P31,Q214609
Q222749,P31,Q735
Q48674256,P31,Q11424
Q373085,P279,Q599151
Q4503831,P279,Q706622
Q4503831,P1382,Q706622
Q241625,P279,Q775842
Q1509038,P31,Q4830453
Q152051,P31,Q4830453
Q152051,P452,Q11474
Q165074,P366,Q12453
Q4994426,P31,Q4830453
Q346504,P460,Q223894
Q7841232,P31,Q4830453
Q7841232,P452,Q190117
Q1364,P527,Q40763
Q8492,P279,Q40050
Q8492,P527,Q11004
Q8492,P31,Q11435
Q44,P1071,Q131734
Q44,P527,Q283
Q1578,P527,Q1566
Q1578,P2283,Q1566
Q1578,P186,Q1566
Q6537379,P279,Q349
Q6537379,P279,Q219067
Q215536,P279,Q43845
Q215536,P425,Q601401
Q40348,P425,Q7748
Q40348,P460,Q380075
Q37260,P279,Q11024
Q37260,P366,Q11024
Q1295201,P279,Q4830453
Q180910,P527,Q173799
Q18545,P279,Q11422
Q48013,P111,Q11423
Q491774,P279,Q39297
Q476118,P279,Q43183
Q476118,P279,Q4830453
Q123705,P361,Q515
Q1651946,P31,Q4830453
Q7725,P361,Q573
Q7725,P155,Q283102
Q7725,P461,Q7722
Q152,P279,Q729
Q241741,P361,Q7860
Q2095549,P425,Q765633
Q105674,P279,Q349
Q578,P527,Q39911
Q578,P111,Q11471
Q207326,P279,Q2221906
Q207326,P361,Q8502
Q456,P17,Q142
Q740732,P279,Q161928
Q4850064,P31,Q515
Q4850064,P17,Q736
Q482798,P111,Q36253
Q190132,P279,Q79782
Q507154,P31,Q4830453
Q507154,P1056,Q12140
Q448042,P31,Q4830453
Q246,P31,Q431289
Q246,P31,Q4830453
Q246,P452,Q190117
Q80071,P279,Q3695082
Q80071,P279,Q478798
Q80071,P460,Q3695082
Q181912,P31,Q46970
Q31,P530,Q32
Q31,P530,Q142
Q31,P530,Q43
Q31,P530,Q77
Q31,P530,Q96
Q31,P530,Q41
Q31,P463,Q41550
Q31,P47,Q32
Q31,P47,Q142
Q31,P31,Q43702
Q31,P31,Q6256
Q3517315,P31,Q4830453
Q3517315,P159,Q340
Q8502,P279,Q2221906
Q8502,P527,Q207326
Q960876,P31,Q4830453
Q960876,P1056,Q7397
Q11002,P279,Q2095
Q1780382,P31,Q4830453
Q157171,P279,Q93288
Q7915946,P31,Q4830453
Q48739587,P31,Q167037
Q6746,P452,Q190117
Q6746,P17,Q142
Q6746,P1056,Q1420
Q753,P279,Q214609
Q753,P279,Q12140
Q753,P279,Q11426
Q1006,P31,Q6256
Q1006,P122,Q7270
Q36074,P31,Q133156
Q687687,P31,Q4830453
Q687687,P452,Q190117
Q687687,P17,Q142
Q264238,P279,Q41298
Q27143,P31,Q4830453
Q27143,P452,Q190117
Q83405,P361,Q4830453
Q1255828,P279,Q179875
Q15030582,P31,Q4830453
Q666948,P31,Q4830453
Q666948,P452,Q11451
Q728,P279,Q39546
Q212322,P452,Q7108
Q212322,P1056,Q12140
Q5059055,P31,Q4830453
Q5059055,P452,Q418
Q187456,P1889,Q131734
Q151885,P460,Q131841
Q151885,P1552,Q1128596
Q151885,P1889,Q131841
Q215414,P279,Q214609
Q667,P461,Q659
Q667,P461,Q684
Q667,P461,Q679
Q201097,P279,Q987767
Q201097,P186,Q287
Q201097,P186,Q11474
Q842,P31,Q6256
Q842,P530,Q902
Q842,P361,Q7204
Q207946,P1889,Q273088
Q127418,P279,Q1570182
Q127418,P366,Q37260
Q127418,P366,Q93184
Q127418,P366,Q11034
Q177882,P31,Q8142
Q1129100,P31,Q3196867
Q66,P31,Q4830453
Q3051909,P31,Q4830453
Q3051909,P452,Q126793
Q249,P279,Q418
Q221692,P31,Q4830453
Q194297,P31,Q167270
Q194297,P31,Q4830453
Q194297,P31,Q44
Q61509,P279,Q79782
Q58964,P366,Q890886
Q58964,P31,Q39546
Q18335,P361,Q413
Q18335,P2579,Q413
Q6473773,P31,Q4830453
Q516739,P279,Q4323994
Q516739,P279,Q7590
Q516739,P121,Q34442
Q1511,P735,Q1249148
Q188675,P361,Q93288
Q188675,P361,Q131569
Q5530392,P31,Q4830453
Q1156,P31,Q515
Q178843,P279,Q8142
Q46744,P1382,Q9081
Q46744,P1382,Q164359
Q1124733,P279,Q35140
Q748250,P1382,Q7216332
Q5177565,P31,Q4830453
Q720398,P2283,Q44432
Q720398,P276,Q274393
Q14076,P186,Q131877
Q10675206,P279,Q214609
Q467,P461,Q8441
Q11650,P31,Q8148
Q11650,P2579,Q11023
Q1740314,P31,Q4830453
Q1740314,P31,Q22687
Q910368,P31,Q4830453
Q37901,P279,Q1267889
Q131569,P279,Q321839
Q131569,P279,Q49848
Q2047030,P279,Q282
Q33,P530,Q142
Q33,P530,Q20
Q33,P530,Q43
Q33,P530,Q96
Q33,P530,Q41
Q33,P463,Q41550
Q33,P47,Q20
Q33,P47,Q15180
Q33,P31,Q6256
Q1282031,P31,Q4830453
Q203567,P31,Q8142
Q167270,P279,Q3695082
Q167270,P279,Q80071
Q77,P122,Q7270
