word,wikiID
proceed,Q96389934
bureau,Q409814
cut,Q20659690
institution,Q178706
state,Q15622206
treasury,Q10756188
member,Q7602551
facility,Q346146
trader,Q3536375
quota,Q970793
bpd,Q437587
talk,Q202069
nation,Q6266
producer,Q27887
review,Q265158
set,Q235028
help,Q20033
sector,Q227911
fall,Q1314
support,Q340406
measure,Q11052334
outlook,Q398496
health,Q12147
protect,Q2251595
expenditure,Q13516686
riyal,Q5483798
make,Q401277
deficit,Q2682765
communication,Q11024
water,Q283
ceiling,Q221706
instrument,Q225829
investor,Q557880
family,Q8436
move,Q297869
money,Q1368
bill,Q257022
bond,Q683365
estate,Q400001
agreement,Q342425
spa,Q1341387
accord,Q339410
meet,Q6807738
auction,Q177923
yen,Q8146
spokesman,Q17221
average,Q202785
bahrain,Q398
partner,Q246166
major,Q983927
telecommunication,Q418
rise,Q413593
port,Q44782
close,Q420328
bonus,Q409597
cent,Q224006
voting,Q189760
deal,Q408711
speculation,Q107885
property,Q1400881
match,Q37507
buying,Q601401
activity,Q241636
wallenberg,Q2113442
completion,Q1651094
basis,Q406248
tender,Q230266
half,Q2114394
rmj,-1
broker,Q160117
range,Q438399
discussion,Q52943
bidding,Q3276328
administration,Q304157
credit,Q182076
television,Q289
form,Q1235072
chairman,Q140686
decision,Q973405
hotel,Q27686
spin,Q229949
cavendish,Q691315
comment,Q10953930
need,Q190258
shearson,Q17110160
use,Q95377384
buy,Q237054
purolator,Q7261370
debenture,Q1378829
pc,Q190685
takeover,Q1416898
future,Q344
commission,Q1780244
franc,Q1403377
biltmore,Q863362
season,Q24384
amusement,Q2844542
k,Q9922
proposal,Q2534388
committee,Q865588
traffic,Q4323994
air,Q3230
wtc,Q410664
drs,Q83877
restructuring,Q1376796
whittaker,Q21507202
corning,Q231931
mln,Q2004493
nursery,Q7070218
trust,Q226283
effort,Q3049084
u,Q9747
financing,Q6055890
offering,Q1179254
redstone,Q423667
commitment,Q5152896
raise,Q7285081
resource,Q1554231
back,Q133279
union,Q227388
employer,Q656365
filing,Q1196501
rule,Q230037
wedge,Q131408
build,Q1002975
insurance,Q43183
ziering,Q21487971
hold,Q1624316
rospatch,-1
diagnostic,Q16644043
executive,Q1166374
one,Q199
banking,Q22687
expand,Q253338
retrieval,Q968112
bass,Q227155
try,Q407077
dominion,Q223832
jefferie,-1
sugarman,Q48549120
tre,Q360936
go,Q219221
