word,wikiID
govern,Q7188
outlai,-1
program,Q768396
slow,Q3711325
sourc,-1
address,Q319608
agreement,Q342425
buyer,Q1308239
character,Q225819
critic,Q6430706
interview,Q178651
movement,Q3326911
princip,Q80492
quota,Q970793
slide,Q365096
suppli,Q712498
winter,Q1311
bilion,Q41650356
book,Q571
foot,Q15807
recov,-1
writedown,Q5551716
amount,Q309314
portion,Q7231827
quarterli,-1
control,Q417861
sell,Q1247670
stake,Q2082178
vice,Q1411242
faith,Q5410500
union,Q227388
whampoa,Q31486
depart,-1
trend,Q341344
exhibit,Q5420195
canadian,Q1196645
grade,Q1541208
novemb,-1
sector,Q227911
circuit,Q474704
maker,Q6739267
mail,Q49845
action,Q343542
acut,-1
attent,-1
cover,Q235962
currenc,-1
drain,Q441549
eas,-1
fairli,-1
fear,Q44619
jump,Q611862
larg,Q10989264
margin,Q5557864
progress,Q2351730
reassur,-1
similarli,-1
sizeabl,-1
support,Q340406
thing,Q12452291
estim,Q5397478
present,Q193168
remaind,-1
restaur,-1
underperform,-1
cloth,Q28823
consum,-1
educ,-1
footwear,Q161928
gasolin,Q934693
medic,Q3486937
pct,Q350108
veget,-1
financ,-1
proce,-1
regist,-1
repai,-1
check,Q446253
calendar,Q12132
compar,-1
figur,-1
institut,Q1664720
liquid,Q11435
overdraft,Q1129100
privat,-1
banker,Q22687
bond,Q683365
bureau,Q409814
coupon,Q11034548
follow,Q5464688
introduc,-1
ministri,-1
minu,Q6869710
pact,Q321839
percentag,-1
reach,Q526688
relat,-1
resolv,-1
set,Q235028
state,Q15622206
stimul,Q419008
work,Q188561
ball,Q18545
coffe,Q8486
court,Q41487
drought,Q43059
incorpor,-1
output,Q2042052
past,Q192630
phase,Q4555
propo,-1
reaction,Q69314267
repre,-1
steadi,-1
tabl,Q7673098
treasuri,-1
burden,Q354825
network,Q20830730
publish,Q3972943
reaffirm,-1
refer,Q7307090
remark,Q1496085
thi,Q7783805
trader,Q3536375
area,Q11500
attract,Q4818684
bit,Q8805
broaden,-1
construct,Q5164389
face,Q37017
halt,Q1292638
highli,-1
lead,Q708
measur,-1
momentum,Q41273
monopoli,Q51835
petroleum,Q22656
plant,Q756
plastic,Q11474
reduc,-1
reform,Q900406
regard,Q16869132
restrict,Q7316284
slightli,-1
step,Q594799
activ,Q27792023
industri,Q268592
interbank,Q2835558
lack,Q1799745
organi,Q2010220
reluct,-1
riyal,Q5483798
weekend,Q30722989
budget,Q41263
health,Q12147
help,Q20033
recurr,-1
sign,Q3695082
surround,Q569874
analysi,-1
azzam,Q18819868
bill,Q257022
citizen,Q42138
coupl,-1
decad,Q367384
depth,Q181591
extent,Q5421978
famili,-1
gcc,Q235819
hamper,Q13479587
instrument,Q225829
investor,Q557880
neg,Q563224
pursu,-1
stem,Q346340
tradit,-1
vehicl,-1
wai,Q10862215
accord,Q339410
agenc,-1
architect,Q42973
bpd,Q437587
fundament,Q411820
minist,-1
slump,Q6133020
turmoil,Q7855605
founder,Q5474587
respon,-1
septemb,-1
abolish,Q2266109
aid,Q2827815
arrear,Q2406150
auction,Q177923
falter,Q1394979
sugar,Q11002
recess,Q3421874
yen,Q8146
aluminium,Q663
metal,Q11426
mitsui,Q899122
power,Q398902
stop,Q924703
tonn,Q2442102
drop,Q404877
partner,Q246166
refineri,-1
remain,Q26827887
rush,Q227463
taper,Q1681992
test,Q224615
throughput,Q1383412
tradition,Q82821
zone,Q219877
deregul,-1
field,Q257765
includ,-1
japane,-1
foundat,-1
partli,-1
briefli,-1
conven,-1
council,Q4358176
effort,Q3049084
idea,Q131841
close,Q420328
core,Q232469
crown,Q170984
deal,Q408711
right,Q780687
convert,Q235969
success,Q15808312
atpc,-1
confid,-1
document,Q49848
hardship,Q5656321
insur,-1
mine,Q256955
miner,Q820037
octob,-1
owner,Q6498684
review,Q265158
risk,Q104493
sack,Q409034
stockpil,-1
tin,Q1096
diplomat,Q193391
doubl,-1
estat,-1
forecast,Q2234476
improv,Q6007787
manufactur,-1
perform,Q35140
denomin,-1
march,Q110
minimum,Q845060
mmc,-1
prevail,Q7242335
regul,-1
dlr,Q258378
island,Q23442
bear,Q11788
lend,Q261834
sight,Q162668
broker,Q160117
permis,-1
rmj,-1
sponsor,Q396951
sanction,Q407075
access,Q338902
bargain,Q2248346
bilater,-1
cabinet,Q1024843
condemn,Q5159154
congression,-1
criterion,Q435371
implic,-1
lai,Q295590
press,Q2108886
side,Q395237
slash,Q229049
sub,Q438656
threat,Q707125
topic,Q2443272
wheel,Q446
worker,Q13440398
healthi,-1
look,Q349894
captur,-1
case,Q229806
dump,Q416001
job,Q192581
implement,Q6007175
stabil,-1
anoth,Q2294199
criticis,-1
item,Q425159
speed,Q3711325
tariff,Q52389
adver,-1
list,Q162032
properti,-1
propos,-1
protectionist,Q179073
satisfactori,-1
appl,-1
disc,Q224358
drive,Q4167568
enhanc,-1
person,Q215627
supplier,Q7644488
attempt,Q29142
competit,-1
fulli,-1
sen,Q360083
specul,-1
strategi,Q335954
evalu,-1
lender,Q157165
prefer,Q908656
detail,Q1184933
liabil,-1
qualifi,-1
auto,Q4826044
bridg,-1
clearanc,-1
closur,-1
mull,Q439902
purol,-1
rest,Q1270500
staff,Q354769
takeov,-1
consumpt,-1
pound,Q228907
yarn,Q49007
definit,-1
capac,Q2930927
electr,-1
smelter,Q2748405
franc,Q1403377
parent,Q7566
room,Q180516
omit,Q7090216
transfer,Q257559
airport,Q1248784
attribut,-1
land,Q11081619
assur,Q200200
ownership,Q6498684
chief,Q412365
miller,Q694116
traffic,Q4323994
ground,Q14493119
histor,Q3589556
davi,Q5230366
air,Q3230
date,Q16997
wtc,Q410664
elimin,-1
underwai,-1
unprofit,-1
store,Q1137469
rospatch,-1
technolog,-1
wood,Q287
obtain,-1
corn,Q11575
glass,Q11469
ratio,Q3481047
februari,-1
rever,Q7318066
coal,Q24489
meat,Q10990
yearli,-1
qtly,-1
trust,Q226283
esselt,-1
scale,Q393789
net,Q16877945
embargo,Q1248258
explor,-1
guard,Q413876
reserv,-1
patent,Q253623
suit,Q614806
chain,Q2397485
confidenti,-1
manag,-1
purpo,-1
receiv,-1
sweeten,Q1724819
lira,Q7995739
econom,-1
fee,Q11765
path,Q341826
approach,Q4781711
catalyst,Q82264
chemic,Q5090376
promis,Q7120400
rout,Q7371358
branch,Q2923673
card,Q295121
disput,-1
request,Q1906515
strike,Q302908
altern,Q11366
coil,Q352776
roll,Q419647
scope,Q2260509
suppos,-1
switch,Q5320
agre,-1
concern,Q5158445
invest,Q4290
dai,Q231883
holder,Q1624408
origin,Q326942
film,Q11424
standard,Q1640121
basi,Q3775684
celane,-1
home,Q7743
hour,Q25235
mood,Q3323529
reintroduct,-1
capabl,-1
claim,Q1094717
intent,Q706622
parti,Q13197167
avail,Q790063
believ,-1
dealer,Q3053309
honour,Q207333
telex,Q66175
aircraft,Q11436
layoff,Q1462531
make,Q401277
missil,-1
site,Q1199068
thrift,Q2429543
yield,Q596465
associ,Q78513848
game,Q11410
diagnost,-1
compound,Q1121905
drug,Q8386
penetr,-1
silver,Q1090
provi,-1
arbitrageur,Q273088
cabl,Q587961
distributor,Q1459069
independ,-1
materi,Q3300020
player,Q353589
proxi,Q7252838
radio,Q872
redston,-1
station,Q34700
theater,Q11635
war,Q198
word,Q8171
acid,Q11158
barrier,Q406977
cooper,Q223935
mass,Q11423
permit,Q7169346
rain,Q7925
realiz,-1
size,Q322481
summer,Q1313
expan,-1
franchis,-1
locat,Q6459472
event,Q1297532
reject,Q322280
retriev,-1
unsolicit,-1
anim,Q4764705
farm,Q131596
int,Q296671
advisor,Q2994387
affect,Q1184551
dominion,Q223832
bass,Q227155
chanc,-1
conver,-1
finish,Q198999
join,Q413109
pesch,Q21491219
question,Q189756
rule,Q230037
succe,-1
princ,Q1760900
amca,-1
inventori,-1
slip,Q361633
aerospac,-1
composit,-1
user,Q258567
refin,-1
continent,Q5107
brass,Q39782
content,Q1128596
receipt,Q330190
scrap,Q917714
tire,Q169545
barg,Q808127
futur,Q16783603
gallon,Q178413
heat,Q44432
ambassador,Q121998
drill,Q58964
fault,Q1177633
framework,Q1289773
prepar,-1
shelf,Q1175677
stress,Q227644
trace,Q296103
charter,Q727002
loui,Q4268333
raider,Q413177
repeal,Q4590027
plummet,Q21072978
redeem,Q125331
subordin,-1
affili,-1
unsuccess,Q1121708
crew,Q345844
expir,-1
percent,Q11229
rollback,Q1678782
seafar,Q7440322
wage,Q6821213
compil,-1
male,Q44148
previou,-1
europ,Q1276307
difficulti,-1
hope,Q190507
deadlock,Q623276
method,Q28146826
minut,-1
object,Q2011843
polit,-1
protect,Q2251595
rescu,-1
supermarket,Q180846
assum,-1
placement,Q2097870
pratt,Q12799360
replant,Q356031
rubber,Q131877
threshold,Q359787
cea,Q256041
confer,Q1048501
gener,Q1172467
hire,Q1620154
pass,Q420230
peopl,-1
statist,Q322294
textil,-1
transform,Q7834062
chip,Q239607
exploit,Q1219664
gap,Q224083
grei,-1
microchip,Q80831
semiconductor,Q11456
want,Q26256512
draw,Q234634
particip,-1
preliminari,-1
pharmaceut,Q507443
suis,Q7635522
philippin,Q58409514
respond,Q7315940
saturdai,-1
undercut,Q7883552
aim,Q226531
pacif,-1
pipelin,-1
seminar,Q504703
storag,-1
despit,-1
mln,Q2004493
businessman,Q43845
categori,-1
chine,Q2197893
curb,Q37442
design,Q82604
editori,-1
extrem,Q3351781
facil,-1
favour,Q347719
fulfil,-1
labour,Q6120474
membership,Q7602551
paper,Q11472
pool,Q388317
print,Q81673
respect,Q28510
speech,Q52946
offic,-1
opportun,-1
peke,Q7161027
flight,Q206021
autumn,Q1314
eagl,-1
ultramar,Q3548078
night,Q575
possibl,-1
woolworth,Q356167
guilder,Q203607
distort,Q1347355
hotel,Q27686
strength,Q177204
style,Q224350
suspend,Q587346
team,Q327245
consider,Q5163182
alter,Q411459
employ,Q656365
redund,-1
settlement,Q1247845
stanc,-1
withdraw,Q28469944
tangibl,-1
format,Q227863
breakdown,Q449501
equit,-1
fact,Q188572
mind,Q450
roaster,Q7339913
greenwood,Q233791
seat,Q2207370
brew,Q911354
breweri,-1
calcul,-1
decid,-1
guin,Q79684
commun,-1
connect,Q1126182
default,Q349724
equatori,-1
lea,Q355244
lessor,Q1220020
maintain,Q1043452
repay,-1
transpond,-1
ban,Q246271
complaint,Q836925
rice,Q5090
trigger,Q253503
auditor,Q10949665
compen,-1
logic,Q8078
chesebrough,Q29831087
gear,Q143873
household,Q259059
launch,Q596866
stauffer,Q21451955
turn,Q411785
legisl,-1
build,Q1002975
pickup,Q234202
grower,Q20659687
commerc,-1
surpass,Q7646527
cbsi,-1
tech,Q3516794
weaken,-1
contest,Q1128697
equip,Q5384550
hole,Q20204151
intersect,Q1180277
dbkg,-1
fight,Q650711
kill,Q411495
stick,Q12299433
factor,Q1393757
portug,-1
weight,Q25288
defer,Q5251497
pension,Q156223
intervent,-1
polici,-1
replac,-1
subcommitte,-1
lire,Q410708
inflow,Q16797612
merchandis,-1
signific,-1
start,Q257117
execut,-1
repurchas,-1
recur,Q7303272
chile,Q298
fridai,-1
unctad,Q182000
troubl,-1
grant,Q219140
pizza,Q177
subject,Q2202182
nickel,Q744
prospect,Q233964
lifetim,-1
rod,Q231105
retail,Q126793
avoid,Q4829132
conflict,Q400889
congressman,Q14761450
croo,-1
lot,Q215020
react,Q2124100
retali,-1
scandal,Q192909
veto,Q178074
curtail,-1
restraint,Q2995534
board,Q268146
ident,Q364827
harlow,Q852729
aggress,Q191797
exchequ,-1
parliament,Q35749
recipi,-1
sort,Q347599
artifici,-1
fat,Q127980
fish,Q152
grea,-1
lard,Q72827
peak,Q1039790
soi,Q1382472
sun,Q525
tallow,Q863266
combat,Q650711
deci,Q110827
stand,Q342013
builder,Q1002999
love,Q316
staf,-1
cargo,Q319224
discuss,Q52943
butler,Q833899
carrier,Q1546441
club,Q182949
enact,Q22349440
hike,Q243403
leav,Q16016507
batteri,-1
arm,Q43471
downturn,Q176494
plane,Q966960
rent,Q1414725
ride,Q341484
segment,Q258480
unexpect,Q657014
wave,Q37172
backlog,Q4839689
adhe,-1
aluminum,Q663
safeti,-1
suitabl,-1
apparel,Q11460
compet,-1
dime,Q423601
optimist,Q485446
pictur,-1
environment,Q1572519
client,Q16278284
partnership,Q728646
goodyear,Q249763
mercer,Q253705
motor,Q44167
simpli,Q17080915
bui,Q396451
feed,Q258692
livestock,Q103459
precipit,-1
push,Q406475
spring,Q19304
ultim,-1
watch,Q178794
cement,Q45190
mission,Q224783
oecd,Q41550
opinion,Q3962655
prevent,Q5611828
ralli,Q2129452
resum,-1
slack,Q1904950
spark,Q243457
spill,Q1536434
argument,Q186619
bring,Q4968231
caus,Q2943119
commerci,-1
contrast,Q295554
dauster,-1
doubt,Q34302
floor,Q217164
lap,Q1276686
panic,Q208450
promi,Q158689
relationship,Q62075492
api,Q165194
wine,Q282
citru,-1
agricultur,Q11451
panel,Q257444
section,Q189171
visit,Q17130325
consequ,-1
fruit,Q1364
strengthen,-1
concert,Q182832
op,Q226362
rebound,Q6419670
audit,Q181487
row,Q241124
chill,Q342988
pork,Q191768
computer,Q68
data,Q42848
appeal,Q329777
block,Q6536648
advantag,-1
contractor,Q760088
defen,-1
electron,Q2225
rockwel,-1
bonu,Q4890136
bonus,Q409597
choo,Q257898
depend,Q183545
lawsuit,Q697327
campaign,Q679087
deduct,-1
seed,Q40763
disposit,-1
labor,Q6120474
timber,Q1370714
proxmir,-1
context,Q1382703
convinc,-1
fashion,Q12684
lag,Q1347898
peseta,Q398542
promot,-1
satisfi,-1
shrink,Q7504128
boot,Q190868
ski,Q172226
truste,Q2671813
resin,Q145205
luckei,-1
volum,-1
repeat,Q1206944
contain,Q1128498
rental,Q157171
communiqu,-1
republ,-1
type,Q2463013
clinic,Q1774898
attack,Q343634
boom,Q257255
clone,Q16280383
crepe,Q12200
discov,-1
disea,-1
leaf,Q33971
sheet,Q1214119
shortag,-1
space,Q107
spell,Q7575829
tree,Q10884
refund,Q18393868
assist,Q416893
blame,Q621695
coast,Q93352
reassess,-1
splinter,Q2510520
search,Q1267283
text,Q1689278
multilater,-1
hous,Q43171723
man,Q8441
blend,Q1905121
exploratori,Q5421346
inland,Q863924
patch,Q340744
recoveri,-1
steam,Q3251738
track,Q351303
choke,Q442586
montgomeri,-1
revolv,Q2119882
appoint,Q4781628
harvest,Q213753
task,Q1179464
temperatur,-1
anonym,Q308859
outboard,Q789774
retir,-1
train,Q870
horizon,Q43261
surviv,Q54823977
asbestec,-1
major,Q983927
discriminatori,-1
prohibit,Q412689
competitor,Q476300
frick,Q281686
good,Q15290
model,Q234018
truck,Q43193
sustain,Q290667
put,Q418473
depreci,-1
journalist,Q1930187
break,Q345491
nugent,Q243265
sit,Q1144593
stripper,Q1141526
deplor,-1
guinn,Q56246185
ongo,Q7093846
reciev,-1
spend,Q192270
dynam,Q730251
reimbur,-1
solicit,Q2785824
titl,-1
renew,Q2143919
addition,Q32043
pend,Q7162355
poison,Q40867
tran,Q2448687
newli,-1
rumour,Q878352
exampl,-1
compon,-1
involv,-1
banner,Q806880
plate,Q415419
broadcast,Q15078788
counsel,Q17131110
drag,Q1667927
licen,-1
motion,Q79782
studio,Q746628
brink,Q1535464
echo,Q182767
protection,Q2251595
investig,-1
alloi,-1
airlin,-1
cloud,Q8074
conting,-1
domin,Q1109649
mix,Q250391
piedmont,Q1216
prove,Q30762
southeast,Q11114344
suitor,Q376596
threaten,Q707125
trial,Q8016240
touch,Q328835
trip,Q354955
sever,Q399046
wheat,Q15645384
crow,Q388450
head,Q23640
prioriti,-1
yeutter,-1
draft,Q361482
behalf,Q22670946
cfa,Q232357
crash,Q224992
earmark,Q5326917
formula,Q976981
ivori,-1
leader,Q484275
diversifi,-1
pipe,Q234455
repair,Q1043452
shipbuild,-1
twenti,-1
ventur,-1
subroto,Q56540951
volatil,-1
bhpgm,-1
diver,Q395524
exceed,Q16885327
excit,-1
portfolio,Q79407829
sound,Q11461
advanc,-1
kerridg,-1
tool,Q39546
maximum,Q845060
fir,Q25350
telephon,Q17144492
danger,Q3013486
foster,Q226141
shift,Q419307
univer,Q410291
creditor,Q157165
inject,Q226329
affair,Q1772698
dismiss,Q5282362
expert,Q381160
impos,-1
plai,Q2097977
polish,Q346127
regain,Q1536095
scientif,-1
setback,Q7456374
unilater,-1
wor,Q563770
overproduct,-1
sea,Q165
consent,Q231043
pie,Q13360264
remedi,Q6067692
usair,Q208046
earli,-1
luxuri,-1
earthquak,-1
cgct,-1
give,Q5565592
relief,Q245117
snow,Q7561
wind,Q8094
begin,Q353947
summit,Q207326
dieter,Q15883397
develop,Q5266655
demonstr,-1
inevit,-1
inflat,-1
pain,Q81938
reli,Q99975991
student,Q48282
mid,Q226756
minework,-1
underground,Q233846
pre,Q442627
proport,-1
directli,-1
boliden,Q891347
camera,Q15328
fecom,-1
refractori,-1
win,Q405718
drink,Q40050
adequaci,-1
assess,Q741306
crimin,-1
disclosur,-1
engag,-1
fraud,Q28813
perceiv,-1
adher,-1
matter,Q35758
refrain,Q191609
spite,Q7578285
strain,Q2353244
scienc,-1
harm,Q15098235
serv,Q7455527
tent,Q170544
distanc,-1
write,Q37260
tone,Q344272
link,Q224246
medicin,Q11190
patient,Q181600
salmonella,Q150839
victim,Q98539357
conveni,-1
rapidli,-1
wholesal,-1
tape,Q11267285
video,Q34508
royal,Q240845
shell,Q224038
front,Q346996
moment,Q1451745
phillip,Q733021
vulner,-1
plung,Q7205095
oppos,Q2084900
kistler,Q351948
submer,-1
financier,Q557880
stockbrok,-1
catalog,Q64221206
durabl,-1
overli,-1
sear,Q7441604
stearn,Q56243680
heart,Q1072
outlet,Q7112160
protein,Q8054
startup,Q129238
valu,Q2875978
ici,Q448254
regulatori,-1
art,Q735
brand,Q431289
paint,Q174219
anchor,Q168432
deterior,-1
harbour,Q283202
scene,Q345264
seaman,Q420125
solut,Q6409430
acm,Q240699
stanlei,-1
tandem,Q1752317
treat,Q13414347
travel,Q61509
upcom,-1
accept,Q4672359
ingredi,-1
skill,Q205961
spread,Q1510102
twa,Q7857394
unavail,-1
decre,-1
goal,Q4503831
brazilian,Q899147
injur,-1
juic,-1
orang,Q7099459
provision,Q16881471
marion,Q1165347
coverag,-1
drift,Q258098
encount,-1
cereal,Q12117
climb,Q5133663
constraint,Q1173877
differenti,-1
overhaul,Q7113679
sweep,Q1564686
togeth,-1
wall,Q42948
carbon,Q623
host,Q242361
proceed,Q96389934
centr,Q4035605
reschedul,-1
pill,Q346986
acquir,-1
alpha,Q9887
pack,Q243538
accumul,-1
alleg,Q2308461
deter,Q4821052
inadequ,-1
tactic,Q354906
beef,Q192628
conagra,Q1123399
internation,-1
fal,Q448874
marketplac,-1
suspen,-1
territori,-1
divest,Q1200733
icc,Q219343
reconsider,Q7302769
appar,Q3504319
cutback,Q52205731
dispos,-1
sand,Q34679
fountain,Q483453
carpet,Q163446
collap,-1
hit,Q346448
idl,-1
striker,Q187618
chapter,Q237306
heck,Q1592947
viner,Q7932453
expen,-1
escalant,-1
aggreg,-1
slowdown,Q31351
revlon,Q1459595
band,Q233765
conclud,-1
calf,Q2935
stone,Q8063
reopen,-1
reorgan,-1
alli,Q21513170
role,Q214339
border,Q133346
rhine,Q584
stretch,Q287593
taft,Q297056
petit,Q281921
debtor,Q157470
filter,Q108174
taxabl,-1
nomin,-1
cypru,-1
damag,-1
indefinit,-1
tremor,Q223907
nationwid,-1
unaudit,-1
exercis,-1
proportion,Q402870
boat,Q35872
broadli,-1
come,Q1113766
rank,Q4389919
winner,Q1757631
autom,-1
exclus,-1
foreign,Q5468197
defin,Q101072
conduct,Q5159367
extract,Q1259977
goldfield,Q414281
gram,Q41803
teberebi,-1
insituform,Q6038182
function,Q788331
eurodollar,Q1374984
gilt,Q5562623
parcel,Q7136418
railroad,Q3565868
absorb,Q224058
assumpt,-1
benchmark,Q577395
destock,-1
tight,Q7801616
amend,Q462088
represent,Q14865097
sieman,-1
telecom,Q415898
edelman,Q21448897
delawar,-1
inertia,Q122508
phone,Q11035
length,Q36253
lumber,Q1370714
ssmc,-1
soro,Q1199124
nearbi,-1
pilot,Q2095549
bird,Q5113
poultri,-1
preferenti,-1
recogn,-1
microfilm,Q830450
bradlei,-1
excess,Q342787
complianc,-1
examin,-1
page,Q224749
stockhold,-1
escrow,Q338451
apartheid,Q11409
bar,Q187456
comprehen,-1
iron,Q677
manner,Q1620068
oxid,-1
uranium,Q1098
governor,Q132050
nur,Q404345
circl,-1
townsend,Q255226
liner,Q1826496
sink,Q140565
toll,Q1247950
miss,Q13359947
tractor,Q39495
bangladesh,Q902
attend,Q4818211
coalit,-1
gerhard,Q7996169
stoltenberg,Q550340
taxpay,-1
deck,Q341488
flood,Q8068
government,Q7188
yard,Q482798
landslid,-1
town,Q3957
shipown,-1
caraca,Q5037554
pump,Q134574
supplement,Q1182745
forc,-1
frankfurt,Q1794
programm,-1
sentiment,Q28659447
strongli,-1
probabl,-1
bulletin,Q1175121
circul,-1
effici,-1
signal,Q174984
intend,Q6044264
purcha,-1
specialist,Q64512396
obstacl,-1
repeatedli,-1
sosnoff,-1
casino,Q133215
resort,Q875157
defend,Q247001
disk,Q224358
personnel,Q656365
profession,Q28640
unspecifi,-1
cmb,-1
temper,Q7698280
guarante,-1
vogtl,-1
prudent,Q13416181
meter,Q11573
road,Q34442
mcdowel,-1
destin,Q5265092
cap,Q6147804
pledg,-1
forest,Q4421
buyout,Q3647770
prime,Q49008
retract,Q2141963
unabl,-1
creation,Q63244734
pave,Q7155547
screen,Q83760
subsidi,-1
khj,-1
worldwid,-1
trump,Q408352
monkei,Q1367
preserv,-1
award,Q618779
increment,Q1663741
mint,Q369531
zinc,Q758
commission,Q1780244
ea,Q218019
quot,-1
surpri,-1
recover,Q448645
resourc,-1
hinder,Q907370
laser,Q38867
light,Q9128
rai,Q253242
takefman,-1
toler,Q21500447
norcro,-1
buffer,Q28029699
successor,Q939330
bind,Q4035110
swap,Q230234
amc,Q226483
death,Q4
guess,Q19921713
orient,Q205653
retain,Q7276393
lyle,Q401767
weekli,-1
allegheni,-1
consortium,Q194166
rival,Q1139327
soo,Q1230747
downtown,Q1050303
biotechnolog,-1
cell,Q2349697
act,Q226469
sail,Q25999
pagex,-1
waiver,Q797551
box,Q188075
potato,Q10998
platinum,Q880
tail,Q60960
balao,Q4850064
mile,Q253276
harper,Q257813
ga,Q224461
spokeswoman,Q17221
door,Q36794
pessimist,Q484954
mortgag,-1
charl,Q59083256
dibona,Q1209314
windfal,-1
pick,Q12410582
shoe,Q22676
cbt,Q1022997
frame,Q294490
pit,Q417814
soybean,Q11006
symbion,Q502012
rig,Q560418
tour,Q783046
coren,Q21507576
rrim,-1
crane,Q232612
disast,-1
trap,Q292088
agent,Q137372
depositor,Q10948641
provinc,-1
mean,Q2796622
caution,Q377906
perman,Q700320
reiter,Q1151636
homeland,Q16513600
king,Q12097
plea,Q15916459
visnew,-1
newspap,-1
nomura,Q21449594
predict,Q748250
debit,Q1120961
